,consumption,income
1994-07-01,0.79832641,0.73204843
1994-10-01,0.982355812,1.317421015
1995-01-01,0.116703636,0.646210704
1995-04-01,0.816439436,0.009071803
1995-07-01,0.890123271,0.745603285
1995-10-01,0.700256683,0.591013847
1996-01-01,0.909995107,1.059530012
1996-04-01,1.125174154,1.068869375
1996-07-01,0.597491051,0.847813936
1996-10-01,0.811049811,0.547321447
1997-01-01,1.002314791,0.890373141
1997-04-01,0.40370845,0.748012589
1997-07-01,1.685618761,1.138248868
1997-10-01,1.137796247,1.379965421
1998-01-01,0.989350157,2.248544314
1998-04-01,1.706687585,1.417721496
1998-07-01,1.316901051,1.04531261
1998-10-01,1.522383594,0.730112366
1999-01-01,0.981498554,0.675449171
1999-04-01,1.56147049,0.228461748
1999-07-01,1.194790348,0.64491755
1999-10-01,1.400264206,1.55565084
2000-01-01,1.505040637,2.079917327
2000-04-01,0.935882738,1.019653998
2000-07-01,0.974321842,1.055609188
2000-10-01,0.88064976,0.149548646
2001-01-01,0.398685386,0.7480245
2001-04-01,0.376512295,-0.274110069
2001-07-01,0.439188594,2.514669298
2001-10-01,1.553691,-1.173044414
2002-01-01,0.343826889,2.659477606
2002-04-01,0.506654039,0.549165469
2002-07-01,0.675711941,-0.343744371
2002-10-01,0.354724654,0.23623426
2003-01-01,0.503872727,0.367138124
2003-04-01,0.985555729,1.501775306
2003-07-01,1.337666705,1.39003078
2003-10-01,0.542546733,0.573803177
2004-01-01,0.880747948,0.443164179
2004-04-01,0.443979489,0.983686803
2004-07-01,0.870378697,0.666082163
2004-10-01,1.073951523,1.388903698
2005-01-01,0.793938878,-1.225522766
2005-04-01,0.984778893,0.701673549
2005-07-01,0.756278018,0.594778066
2005-10-01,0.248197873,0.545328307
2006-01-01,1.01902713,1.85567861
2006-04-01,0.600482189,0.882341774
2006-07-01,0.59799998,0.479144681
2006-10-01,0.925841126,1.302357376
2007-01-01,0.554241245,0.451389832
2007-04-01,0.38257957,0.149334878
2007-07-01,0.43929546,0.392083863
2007-10-01,0.294658721,0.548559897
2008-01-01,-0.252665213,1.430770981
2008-04-01,-0.03553182,1.973964634
2008-07-01,-0.971774467,-2.308604067
2008-10-01,-1.313503998,-0.057706851
2009-01-01,-0.387483995,-0.969060881
2009-04-01,-0.470083019,0.063290188
2009-07-01,0.574000955,-1.392556217
2009-10-01,0.109328853,-0.144713401
2010-01-01,0.671017951,1.187165135
2010-04-01,0.717718191,1.354354721
2010-07-01,0.653143257,0.561169813
2010-10-01,0.875352148,0.37105794
