,dj
1754-12-01 22:43:41.128654848,3849.0
1754-12-02 22:43:41.128654848,3842.0
1754-12-03 22:43:41.128654848,3867.0
1754-12-04 22:43:41.128654848,3870.0
1754-12-05 22:43:41.128654848,3870.0
1754-12-06 22:43:41.128654848,3884.0
1754-12-07 22:43:41.128654848,3892.0
1754-12-08 22:43:41.128654848,3914.0
1754-12-09 22:43:41.128654848,3913.0
1754-12-10 22:43:41.128654848,3895.0
1754-12-11 22:43:41.128654848,3926.0
1754-12-12 22:43:41.128654848,3945.0
1754-12-13 22:43:41.128654848,3978.0
1754-12-14 22:43:41.128654848,3964.0
1754-12-15 22:43:41.128654848,3976.0
1754-12-16 22:43:41.128654848,3968.0
1754-12-17 22:43:41.128654848,3871.0
1754-12-18 22:43:41.128654848,3906.0
1754-12-19 22:43:41.128654848,3906.0
1754-12-20 22:43:41.128654848,3932.0
1754-12-21 22:43:41.128654848,3895.0
1754-12-22 22:43:41.128654848,3895.0
1754-12-23 22:43:41.128654848,3904.0
1754-12-24 22:43:41.128654848,3928.0
1754-12-25 22:43:41.128654848,3937.0
1754-12-26 22:43:41.128654848,3923.0
1754-12-27 22:43:41.128654848,3888.0
1754-12-28 22:43:41.128654848,3900.0
1754-12-29 22:43:41.128654848,3912.0
1754-12-30 22:43:41.128654848,3892.0
1754-12-31 22:43:41.128654848,3840.0
1755-01-01 22:43:41.128654848,3839.0
1755-01-02 22:43:41.128654848,3832.0
1755-01-03 22:43:41.128654848,3809.0
1755-01-04 22:43:41.128654848,3832.0
1755-01-05 22:43:41.128654848,3824.0
1755-01-06 22:43:41.128654848,3832.0
1755-01-07 22:43:41.128654848,3856.0
1755-01-08 22:43:41.128654848,3852.0
1755-01-09 22:43:41.128654848,3853.0
1755-01-10 22:43:41.128654848,3831.0
1755-01-11 22:43:41.128654848,3863.0
1755-01-12 22:43:41.128654848,3863.0
1755-01-13 22:43:41.128654848,3850.0
1755-01-14 22:43:41.128654848,3848.0
1755-01-15 22:43:41.128654848,3865.0
1755-01-16 22:43:41.128654848,3896.0
1755-01-17 22:43:41.128654848,3865.0
1755-01-18 22:43:41.128654848,3863.0
1755-01-19 22:43:41.128654848,3869.0
1755-01-20 22:43:41.128654848,3821.0
1755-01-21 22:43:41.128654848,3775.0
1755-01-22 22:43:41.128654848,3762.0
1755-01-23 22:43:41.128654848,3699.0
1755-01-24 22:43:41.128654848,3627.0
1755-01-25 22:43:41.128654848,3636.0
1755-01-26 22:43:41.128654848,3675.0
1755-01-27 22:43:41.128654848,3680.0
1755-01-28 22:43:41.128654848,3693.0
1755-01-29 22:43:41.128654848,3674.0
1755-01-30 22:43:41.128654848,3689.0
1755-01-31 22:43:41.128654848,3682.0
1755-02-01 22:43:41.128654848,3662.0
1755-02-02 22:43:41.128654848,3663.0
1755-02-03 22:43:41.128654848,3662.0
1755-02-04 22:43:41.128654848,3620.0
1755-02-05 22:43:41.128654848,3620.0
1755-02-06 22:43:41.128654848,3599.0
1755-02-07 22:43:41.128654848,3653.0
1755-02-08 22:43:41.128654848,3649.0
1755-02-09 22:43:41.128654848,3700.0
1755-02-10 22:43:41.128654848,3684.0
1755-02-11 22:43:41.128654848,3668.0
1755-02-12 22:43:41.128654848,3682.0
1755-02-13 22:43:41.128654848,3701.0
1755-02-14 22:43:41.128654848,3714.0
1755-02-15 22:43:41.128654848,3698.0
1755-02-16 22:43:41.128654848,3696.0
1755-02-17 22:43:41.128654848,3670.0
1755-02-18 22:43:41.128654848,3629.0
1755-02-19 22:43:41.128654848,3656.0
1755-02-20 22:43:41.128654848,3629.0
1755-02-21 22:43:41.128654848,3653.0
1755-02-22 22:43:41.128654848,3660.0
1755-02-23 22:43:41.128654848,3672.0
1755-02-24 22:43:41.128654848,3721.0
1755-02-25 22:43:41.128654848,3733.0
1755-02-26 22:43:41.128654848,3759.0
1755-02-27 22:43:41.128654848,3766.0
1755-02-28 22:43:41.128654848,3742.0
1755-03-01 22:43:41.128654848,3745.0
1755-03-02 22:43:41.128654848,3755.0
1755-03-03 22:43:41.128654848,3754.0
1755-03-04 22:43:41.128654848,3757.0
1755-03-05 22:43:41.128654848,3757.5
1755-03-06 22:43:41.128654848,3758.0
1755-03-07 22:43:41.128654848,3761.0
1755-03-08 22:43:41.128654848,3759.0
1755-03-09 22:43:41.128654848,3772.0
1755-03-10 22:43:41.128654848,3768.0
1755-03-11 22:43:41.128654848,3756.0
1755-03-12 22:43:41.128654848,3749.0
1755-03-13 22:43:41.128654848,3753.0
1755-03-14 22:43:41.128654848,3773.0
1755-03-15 22:43:41.128654848,3815.0
1755-03-16 22:43:41.128654848,3790.0
1755-03-17 22:43:41.128654848,3811.0
1755-03-18 22:43:41.128654848,3777.0
1755-03-19 22:43:41.128654848,3742.0
1755-03-20 22:43:41.128654848,3708.0
1755-03-21 22:43:41.128654848,3725.0
1755-03-22 22:43:41.128654848,3699.0
1755-03-23 22:43:41.128654848,3637.0
1755-03-24 22:43:41.128654848,3686.0
1755-03-25 22:43:41.128654848,3670.0
1755-03-26 22:43:41.128654848,3667.0
1755-03-27 22:43:41.128654848,3625.0
1755-03-28 22:43:41.128654848,3647.0
1755-03-29 22:43:41.128654848,3649.5
1755-03-30 22:43:41.128654848,3652.0
1755-03-31 22:43:41.128654848,3674.0
1755-04-01 22:43:41.128654848,3688.0
1755-04-02 22:43:41.128654848,3709.0
1755-04-03 22:43:41.128654848,3703.0
1755-04-04 22:43:41.128654848,3703.0
1755-04-05 22:43:41.128654848,3704.0
1755-04-06 22:43:41.128654848,3739.0
1755-04-07 22:43:41.128654848,3754.0
1755-04-08 22:43:41.128654848,3755.0
1755-04-09 22:43:41.128654848,3748.0
1755-04-10 22:43:41.128654848,3727.0
1755-04-11 22:43:41.128654848,3732.0
1755-04-12 22:43:41.128654848,3735.0
1755-04-13 22:43:41.128654848,3742.0
1755-04-14 22:43:41.128654848,3736.0
1755-04-15 22:43:41.128654848,3720.0
1755-04-16 22:43:41.128654848,3731.0
1755-04-17 22:43:41.128654848,3764.0
1755-04-18 22:43:41.128654848,3798.0
1755-04-19 22:43:41.128654848,3796.0
1755-04-20 22:43:41.128654848,3793.0
1755-04-21 22:43:41.128654848,3766.0
1755-04-22 22:43:41.128654848,3747.0
1755-04-23 22:43:41.128654848,3754.0
1755-04-24 22:43:41.128654848,3756.0
1755-04-25 22:43:41.128654848,3767.0
1755-04-26 22:43:41.128654848,3751.0
1755-04-27 22:43:41.128654848,3769.0
1755-04-28 22:43:41.128654848,3760.0
1755-04-29 22:43:41.128654848,3785.0
1755-04-30 22:43:41.128654848,3776.0
1755-05-01 22:43:41.128654848,3755.0
1755-05-02 22:43:41.128654848,3755.0
1755-05-03 22:43:41.128654848,3751.0
1755-05-04 22:43:41.128654848,3776.0
1755-05-05 22:43:41.128654848,3847.0
1755-05-06 22:43:41.128654848,3830.0
1755-05-07 22:43:41.128654848,3881.0
1755-05-08 22:43:41.128654848,3899.0
1755-05-09 22:43:41.128654848,3917.0
1755-05-10 22:43:41.128654848,3913.0
1755-05-11 22:43:41.128654848,3901.0
1755-05-12 22:43:41.128654848,3886.0
1755-05-13 22:43:41.128654848,3892.5
1755-05-14 22:43:41.128654848,3899.0
1755-05-15 22:43:41.128654848,3886.0
1755-05-16 22:43:41.128654848,3908.0
1755-05-17 22:43:41.128654848,3875.0
1755-05-18 22:43:41.128654848,3860.0
1755-05-19 22:43:41.128654848,3880.0
1755-05-20 22:43:41.128654848,3895.0
1755-05-21 22:43:41.128654848,3954.0
1755-05-22 22:43:41.128654848,3933.0
1755-05-23 22:43:41.128654848,3937.0
1755-05-24 22:43:41.128654848,3869.0
1755-05-25 22:43:41.128654848,3852.0
1755-05-26 22:43:41.128654848,3837.0
1755-05-27 22:43:41.128654848,3832.0
1755-05-28 22:43:41.128654848,3849.0
1755-05-29 22:43:41.128654848,3863.0
1755-05-30 22:43:41.128654848,3878.0
1755-05-31 22:43:41.128654848,3855.0
1755-06-01 22:43:41.128654848,3843.0
1755-06-02 22:43:41.128654848,3847.0
1755-06-03 22:43:41.128654848,3801.0
1755-06-04 22:43:41.128654848,3787.0
1755-06-05 22:43:41.128654848,3776.0
1755-06-06 22:43:41.128654848,3797.0
1755-06-07 22:43:41.128654848,3821.0
1755-06-08 22:43:41.128654848,3877.0
1755-06-09 22:43:41.128654848,3875.0
1755-06-10 22:43:41.128654848,3890.0
1755-06-11 22:43:41.128654848,3910.0
1755-06-12 22:43:41.128654848,3924.0
1755-06-13 22:43:41.128654848,3918.0
1755-06-14 22:43:41.128654848,3936.0
1755-06-15 22:43:41.128654848,3911.0
1755-06-16 22:43:41.128654848,3891.0
1755-06-17 22:43:41.128654848,3855.0
